Grape,Winery,Appelation,State,Name,Year,Price,Score,Cases,Drink
Merlot,Merryvale,Napa Valley,California,Merlot,2006,39,86,1587,now
Pinot Noir,DuMOL,Russian River Valley,California,Ryan,2007,76,94,850,now
Pinot Noir,DuMOL,Russian River Valley,California,Finn,2007,80,93,363,now
Pinot Noir,DuMOL,Red Hills Lake County,California,Aidan,2007,76,92,380,now
Pinot Noir,DuMOL,Sonoma Coast,California,Eoin,2007,76,92,375,now
Pinot Noir,Paul Hobbs,Russian River Valley,California,Ulises Valdez Vineyard,2008,70,92,282,now
Pinot Noir,Fleming Jenkins,California,California,Victories Rose,2009,20,89,480,now
Pinot Noir,Keller,Sonoma Coast,California,La Cruz Vineyard,2007,44,88,510,now
Pinot Noir,Baileyana,Edna Valley,California,Grand Firepeak Cuvee Firepeak Vineyard,2007,33,87,6334,now
Pinot Noir,Testarossa,Santa Lucia Highlands,California,Sleepy Hollow Vineyard,2008,59,87,600,now
Pinot Noir,Demetria,Sta. Rita Hills,California,Pinot Noir,2007,40,86,2000,now
Sauvignon Blanc,Merry Edwards,Russian River Valley,California,Sauvignon Blanc,2008,30,93,3880,now
Sauvignon Blanc,Illumination,Napa Valley,California,Sauvignon Blanc,2008,40,87,3150,now
Sauvignon Blanc,Langtry,Guenoc Valley,California,Lillie Vineyard,2008,20,87,659,now
Sauvignon Blanc,David Arthur,Napa Valley,California,Sauvignon Blanc,2008,25,86,566,now
Syrah,Carlisle,Russian River Valley,California,Papas Block,2008,45,92,212,now
Syrah,Sine Qua Non,California,California,Labels,2007,135,92,1421,now
Syrah,Fleming Jenkins,Livermore Valley,California,Madden Ranch,2007,40,89,456,2011
Syrah,Ampelos,Santa Barbara County,California,Rose,2009,18,88,320,now
Syrah,Carlisle,Santa Lucia Highlands,California,Rosellas Vineyard,2008,45,88,171,now
Syrah,Ancient Peaks,Paso Robles,California,Syrah,2007,16,87,869,now
Zinfandel,Hartford Family,Russian River Valley,California,Highwire Vineyard,2008,55,89,340,2012
Zinfandel,Haywood,Sonoma Valley,California,Rocky Terrace Los Chamizal Vineyards,2007,35,89,590,2011
Zinfandel,Kunde Estate,Sonoma Valley,California,Century Vines Reserve,2007,35,89,2000,now
Zinfandel,Saxon Brown,Sonoma Valley,California,Casa Santinamaria Vineyards,2006,38,89,327,now
Zinfandel,Valdez,Rockpile,California,Boticelli Vineyards,2007,41,89,233,2011
Zinfandel,Dashe,Alexander Valley,California,Todd Brothers Ranch Old Vines,2007,32,88,476,now
Zinfandel,Del Carlo,Dry Creek Valley,California,Old Vine Teldeschi Vineyard Home Ranch,2006,32,88,294,now
Zinfandel,Dry Creek,Dry Creek Valley,California,Old Vine,2007,28,88,5555,2015
Zinfandel,Dry Creek,Dry Creek Valley,California,Somers Ranch,2007,34,88,469,now
Zinfandel,Frank Family,Napa Valley,California,Reserve,2007,50,88,748,now
Zinfandel,Haywood,Sonoma Valley,California,Morning Sun Los Chamizal Vineyards,2007,35,88,399,now
Zinfandel,Sbragia Family,Dry Creek Valley,California,Ginos Vineyard,2007,28,88,544,now
Zinfandel,Bradford Mountain,Dry Creek Valley,California,Zinfandel,2006,22,87,1900,now
Zinfandel,Cline,Contra Costa County,California,Bridgehead,2008,25,87,850,now
Zinfandel,Dancing Lady,Alexander Valley,California,Old vine Della Costa Family Vineyard,2008,24,87,358,now
Zinfandel,Mauritson,Dry Creek Valley,California,Zinfandel,2008,27,87,1457,now
Zinfandel,Neyers,Contra Costa County,California,Pato Vineyard,2008,30,87,1200,now
Zinfandel,Rosenblum,Sonoma County,California,Zinfandel,2007,18,87,5297,now
Zinfandel,Rosenblum,Sonoma Valley,California,Cullinane Reserve,2007,45,87,238,now
Zinfandel,Rubicon Estate,Rutherford,California,Edizione Pennino,2007,45,87,2499,now
Zinfandel,Sebastiani,Dry Creek Valley,California,Zinfandel,2008,24,87,1284,now
Zinfandel,Pedroncelli,Dry Creek Valley,California,Bushnell Vineyard,2007,18,86,3500,now
Zinfandel,Sobon Estate,Amador County,California,Old Vines,2008,14,86,6900,now
Zinfandel,Cline,California,California,Zinfandel,2008,12,85,97500,now
Roussanne,Sine Qua Non,California,California,To the Rescue,2006,100,91,139,now
Sangiovese,Altamura,Napa Valley,California,Sangiovese,2006,48,88,1500,now
Barbera,Enotria,Mendocino County,California,Barbera,2006,17,87,1100,now
Zinfandel,C.G. Di Arle,Shenandoah Valley,California,Primitivo Block #4,2007,25,86,719,now
